sampleId	data_type	TF	timepoint	IP_tag	rep	complex	control	peakType	color
An_rstB_kdmA_del_48h_HA_2	TF	rstB_kdmA_del	48h	HA	2	kdmA	An_untagged_48h_HA_2	narrow	white,red
An_ecoA_20h_HA_1	TF	ecoA	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#990084
An_ecoA_20h_HA_2	TF	ecoA	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#990084
An_ecoA_48h_HA_1	TF	ecoA	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#990084
An_ecoA_48h_HA_2	TF	ecoA	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#990084
An_ecoA_kdmB_del_20h_HA_1	TF	ecoA_kdmB_del	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#990084
An_ecoA_kdmB_del_20h_HA_2	TF	ecoA_kdmB_del	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#990084
An_ecoA_kdmB_del_48h_HA_1	TF	ecoA_kdmB_del	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#990084
An_ecoA_kdmB_del_48h_HA_2	TF	ecoA_kdmB_del	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#990084
An_ecoA_sntB_del_20h_HA_1	TF	ecoA_sntB_del	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#990084
An_ecoA_sntB_del_20h_HA_2	TF	ecoA_sntB_del	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#990084
An_ecoA_sntB_del_48h_HA_1	TF	ecoA_sntB_del	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#990084
An_ecoA_sntB_del_48h_HA_2	TF	ecoA_sntB_del	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#990084
An_ecoA_teton_20h_polII_1	polII	ecoA_teton	20h	polII	1	kdmB	An_untagged_20h_polII_1	.	white,red
An_ecoA_teton_20h_polII_2	polII	ecoA_teton	20h	polII	2	kdmB	An_untagged_20h_polII_2	.	white,red
An_ecoA_teton_48h_polII_1	polII	ecoA_teton	48h	polII	1	kdmB	An_untagged_48h_polII_1	.	white,red
An_ecoA_teton_48h_polII_2	polII	ecoA_teton	48h	polII	2	kdmB	An_untagged_48h_polII_2	.	white,red
An_kdmB_20h_HA_1	TF	kdmB	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#DA0000
An_kdmB_20h_HA_2	TF	kdmB	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#DA0000
An_kdmB_48h_HA_1	TF	kdmB	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#DA0000
An_kdmB_48h_HA_2	TF	kdmB	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#DA0000
An_kdmB_del_20h_polII_1	polII	kdmB_del	20h	polII	1	kdmB	An_untagged_20h_polII_1	.	white,red
An_kdmB_del_20h_polII_2	polII	kdmB_del	20h	polII	2	kdmB	An_untagged_20h_polII_2	.	white,red
An_kdmB_del_48h_polII_1	polII	kdmB_del	48h	polII	1	kdmB	An_untagged_48h_polII_1	.	white,red
An_kdmB_del_48h_polII_2	polII	kdmB_del	48h	polII	2	kdmB	An_untagged_48h_polII_2	.	white,red
An_kdmB_del_sntB_del_20h_polII_1	polII	kdmB_del_sntB_del	20h	polII	1	kdmB	An_untagged_20h_polII_1	.	white,red
An_kdmB_del_sntB_del_20h_polII_2	polII	kdmB_del_sntB_del	20h	polII	2	kdmB	An_untagged_20h_polII_2	.	white,red
An_kdmB_del_sntB_del_48h_polII_1	polII	kdmB_del_sntB_del	48h	polII	1	kdmB	An_untagged_48h_polII_1	.	white,red
An_kdmB_del_sntB_del_48h_polII_2	polII	kdmB_del_sntB_del	48h	polII	2	kdmB	An_untagged_48h_polII_2	.	white,red
An_kdmB_laeA_del_20h_HA_1	TF	kdmB_laeA_del	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#DA0000
An_kdmB_laeA_del_20h_HA_2	TF	kdmB_laeA_del	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#DA0000
An_kdmB_laeA_del_48h_HA_1	TF	kdmB_laeA_del	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#DA0000
An_kdmB_laeA_del_48h_HA_2	TF	kdmB_laeA_del	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#DA0000
An_kdmB_sntB_del_20h_HA_1	TF	kdmB_sntB_del	20h	HA	1	kdmB	An_untagged_20h_HA_1	narrow	white,#DA0000
An_kdmB_sntB_del_20h_HA_2	TF	kdmB_sntB_del	20h	HA	2	kdmB	An_untagged_20h_HA_2	narrow	white,#DA0000
An_kdmB_sntB_del_48h_HA_1	TF	kdmB_sntB_del	48h	HA	1	kdmB	An_untagged_48h_HA_1	narrow	white,#DA0000
An_kdmB_sntB_del_48h_HA_2	TF	kdmB_sntB_del	48h	HA	2	kdmB	An_untagged_48h_HA_2	narrow	white,#DA0000
An_laeA_del_kdmB_del_20h_polII_1	polII	laeA_del_kdmB_del	20h	polII	1	kdmB	An_untagged_20h_polII_1	.	white,red
An_laeA_del_kdmB_del_20h_polII_2	polII	laeA_del_kdmB_del	20h	polII	2	kdmB	An_untagged_20h_polII_2	.	white,red
